"transactTime","transactType","amount","fee","address","transactStatus","walletBalance"
"null","UnrealisedPNL","-8160","0","XBTUSD","Pending","1637353"
"15/11/2021, 22:30:00","RealisedPNL","-3249","0","XBTUSD","Completed","1637353"
"14/11/2021, 22:30:00","RealisedPNL","8566","0","XBTUSD","Completed","1640602"
"13/11/2021, 22:30:00","RealisedPNL","737","0","XBTUSD","Completed","1632036"
"12/11/2021, 22:30:00","RealisedPNL","36015","0","XBTUSD","Completed","1631299"
"11/11/2021, 22:30:00","RealisedPNL","191414","0","XBTUSD","Completed","1595284"
"10/11/2021, 22:30:00","RealisedPNL","7026","0","XBTUSD","Completed","1403870"
"09/11/2021, 22:30:00","RealisedPNL","-63240","0","XBTUSD","Completed","1396844"
"08/11/2021, 22:30:00","RealisedPNL","-79942","0","XBTUSD","Completed","1460084"
"07/11/2021, 22:30:00","RealisedPNL","-6231","0","XBTUSD","Completed","1540026"
"06/11/2021, 22:30:00","RealisedPNL","9473","0","XBTUSD","Completed","1546257"
"05/11/2021, 22:30:00","RealisedPNL","19319","0","XBTUSD","Completed","1536784"
"04/11/2021, 22:30:00","RealisedPNL","14047","0","XBTUSD","Completed","1517465"
"03/11/2021, 22:30:00","RealisedPNL","-19450","0","XBTUSD","Completed","1503418"
"02/11/2021, 22:30:00","RealisedPNL","35781","0","XBTUSD","Completed","1522868"
"01/11/2021, 22:30:00","RealisedPNL","22204","0","XBTUSD","Completed","1487087"
"31/10/2021, 22:30:00","RealisedPNL","7904","0","XBTUSD","Completed","1464883"
"30/10/2021, 22:30:00","RealisedPNL","-6816","0","XBTUSD","Completed","1456979"
"29/10/2021, 22:30:00","RealisedPNL","98","0","XBTUSD","Completed","1463795"
"28/10/2021, 22:30:00","RealisedPNL","-38506","0","XBTUSD","Completed","1463697"
"27/10/2021, 22:30:00","RealisedPNL","-2956","0","XBTUSD","Completed","1502203"
"26/10/2021, 22:30:00","RealisedPNL","-6120","0","XBTUSD","Completed","1505159"
"25/10/2021, 22:30:00","RealisedPNL","20563","0","XBTUSD","Completed","1511279"
"24/10/2021, 22:30:00","RealisedPNL","13468","0","XBTUSD","Completed","1490716"
"23/10/2021, 22:30:00","RealisedPNL","20467","0","XBTUSD","Completed","1477248"
"22/10/2021, 22:30:00","RealisedPNL","18082","0","XBTUSD","Completed","1456781"
"21/10/2021, 22:30:00","RealisedPNL","-22378","0","XBTUSD","Completed","1438699"
"20/10/2021, 22:30:00","RealisedPNL","142","0","XBTUSD","Completed","1461077"
"19/10/2021, 22:30:00","RealisedPNL","24335","0","XBTUSD","Completed","1460935"
"18/10/2021, 22:30:00","RealisedPNL","32134","0","XBTUSD","Completed","1436600"
"17/10/2021, 22:30:00","RealisedPNL","-33978","0","XBTUSD","Completed","1404466"
"16/10/2021, 22:30:00","RealisedPNL","618","0","XBTUSD","Completed","1438444"
"15/10/2021, 22:30:00","RealisedPNL","33711","0","XBTUSD","Completed","1437826"
"14/10/2021, 22:30:00","RealisedPNL","35478","0","XBTUSD","Completed","1404115"
"13/10/2021, 22:30:00","RealisedPNL","11489","0","XBTUSD","Completed","1368637"
"12/10/2021, 22:30:00","RealisedPNL","-15557","0","XBTUSD","Completed","1357148"
"11/10/2021, 22:30:00","RealisedPNL","759","0","XBTUSD","Completed","1372705"
"10/10/2021, 22:30:00","RealisedPNL","2779","0","XBTUSD","Completed","1371946"
"09/10/2021, 22:30:00","RealisedPNL","29672","0","XBTUSD","Completed","1369167"
"08/10/2021, 22:30:00","RealisedPNL","-59716","0","XBTUSD","Completed","1339495"
"07/10/2021, 22:30:00","RealisedPNL","55","0","XBTUSD","Completed","1399211"
"06/10/2021, 22:30:00","RealisedPNL","40","0","XBTUSD","Completed","1399156"
"05/10/2021, 22:30:00","RealisedPNL","61","0","XBTUSD","Completed","1399116"
"04/10/2021, 22:30:00","RealisedPNL","62","0","XBTUSD","Completed","1399055"
"03/10/2021, 22:30:00","RealisedPNL","58","0","XBTUSD","Completed","1398993"
"02/10/2021, 21:30:00","RealisedPNL","37","0","XBTUSD","Completed","1398935"
"01/10/2021, 21:30:00","RealisedPNL","13","0","XBTUSD","Completed","1398898"
"30/09/2021, 21:30:00","RealisedPNL","7756","0","XBTUSD","Completed","1398885"
"29/09/2021, 21:30:00","RealisedPNL","-10578","0","XBTUSD","Completed","1391129"
"28/09/2021, 21:30:00","RealisedPNL","-2160","0","XBTUSD","Completed","1401707"
"27/09/2021, 21:30:00","RealisedPNL","-94","0","XBTUSD","Completed","1403867"
"26/09/2021, 21:30:00","RealisedPNL","9642","0","XBTUSD","Completed","1403961"
"25/09/2021, 21:30:00","RealisedPNL","11416","0","XBTUSD","Completed","1394319"
"24/09/2021, 21:30:00","RealisedPNL","3142","0","XBTUSD","Completed","1382903"
"23/09/2021, 21:30:00","RealisedPNL","-19480","0","XBTUSD","Completed","1379761"
"22/09/2021, 21:30:00","RealisedPNL","1853","0","XBTUSD","Completed","1399241"
"21/09/2021, 21:30:00","RealisedPNL","-10186","0","XBTUSD","Completed","1397388"
"20/09/2021, 21:30:00","RealisedPNL","-25719","0","XBTUSD","Completed","1407574"
"19/09/2021, 21:30:00","RealisedPNL","-4010","0","XBTUSD","Completed","1433293"
"18/09/2021, 21:30:00","RealisedPNL","-8634","0","XBTUSD","Completed","1437303"
"17/09/2021, 21:30:00","RealisedPNL","-847","0","XBTUSD","Completed","1445937"
"16/09/2021, 21:30:00","RealisedPNL","-9601","0","XBTUSD","Completed","1446784"
"15/09/2021, 21:30:00","RealisedPNL","-16252","0","XBTUSD","Completed","1456385"
"14/09/2021, 21:30:00","RealisedPNL","-5808","0","XBTUSD","Completed","1472637"
"13/09/2021, 21:30:00","RealisedPNL","-849","0","XBTUSD","Completed","1478445"
"12/09/2021, 21:30:00","RealisedPNL","-7233","0","XBTUSD","Completed","1479294"
"11/09/2021, 21:30:00","RealisedPNL","-15044","0","XBTUSD","Completed","1486527"
"10/09/2021, 21:30:00","RealisedPNL","-5920","0","XBTUSD","Completed","1501571"
"09/09/2021, 21:30:00","RealisedPNL","-4749","0","XBTUSD","Completed","1507491"
"08/09/2021, 21:30:00","RealisedPNL","-34230","0","XBTUSD","Completed","1512240"
"07/09/2021, 21:30:00","RealisedPNL","4466","0","XBTUSD","Completed","1546470"
"06/09/2021, 21:30:00","RealisedPNL","-1132","0","XBTUSD","Completed","1542004"
"16/08/2021, 21:30:00","RealisedPNL","-238","0","XBTUSD","Completed","1543136"
"15/08/2021, 21:30:00","RealisedPNL","-9301","0","XBTUSD","Completed","1543374"
"14/08/2021, 21:30:00","RealisedPNL","-20113","0","XBTUSD","Completed","1552675"
"13/08/2021, 21:30:00","RealisedPNL","-10275","0","XBTUSD","Completed","1572788"
"12/08/2021, 21:30:00","RealisedPNL","-1650","0","XBTUSD","Completed","1583063"
"11/08/2021, 21:30:00","RealisedPNL","-8760","0","XBTUSD","Completed","1584713"
"10/08/2021, 21:30:00","RealisedPNL","-9770","0","XBTUSD","Completed","1593473"
"09/08/2021, 21:30:00","RealisedPNL","-25475","0","XBTUSD","Completed","1603243"
"08/08/2021, 21:30:00","RealisedPNL","-18198","0","XBTUSD","Completed","1628718"
"07/08/2021, 21:30:00","RealisedPNL","-12427","0","XBTUSD","Completed","1646916"
"06/08/2021, 21:30:00","RealisedPNL","-5501","0","XBTUSD","Completed","1659343"
"05/08/2021, 21:30:00","RealisedPNL","-7168","0","XBTUSD","Completed","1664844"
"04/08/2021, 21:30:00","RealisedPNL","-8754","0","XBTUSD","Completed","1672012"
"03/08/2021, 21:30:00","RealisedPNL","-10789","0","XBTUSD","Completed","1680766"
"02/08/2021, 21:30:00","RealisedPNL","-6396","0","XBTUSD","Completed","1691555"
"01/08/2021, 21:30:00","RealisedPNL","-1879","0","XBTUSD","Completed","1697951"
"31/07/2021, 21:30:00","RealisedPNL","-5743","0","XBTUSD","Completed","1699830"
"30/07/2021, 21:30:00","RealisedPNL","2565","0","XBTUSD","Completed","1705573"
"29/07/2021, 21:30:00","RealisedPNL","-18439","0","XBTUSD","Completed","1703008"
"28/07/2021, 21:30:00","RealisedPNL","-16629","0","XBTUSD","Completed","1721447"
"27/07/2021, 21:30:00","RealisedPNL","-22310","0","XBTUSD","Completed","1738076"
"26/07/2021, 21:30:00","RealisedPNL","-57653","0","XBTUSD","Completed","1760386"
"25/07/2021, 21:30:00","RealisedPNL","-18445","0","XBTUSD","Completed","1818039"
"24/07/2021, 21:30:00","RealisedPNL","821","0","XBTUSD","Completed","1836484"
"23/07/2021, 21:30:00","RealisedPNL","-15237","0","XBTUSD","Completed","1835663"
"22/07/2021, 21:30:00","RealisedPNL","-17227","0","XBTUSD","Completed","1850900"
"21/07/2021, 21:30:00","RealisedPNL","10628","0","XBTUSD","Completed","1868127"
"20/07/2021, 21:30:00","RealisedPNL","-5545","0","XBTUSD","Completed","1857499"